                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8369,                 5.3782,                0.82603,                 0.9853,                0.86989,                0.98814,                0.45256,                 1.8644,                 2.1631,                0.81946,             0.00041339,             0.00041339,             0.00041339
                      2,                 1.6349,                 3.2738,                0.81764,                0.98473,                0.99015,                 0.9937,                0.62647,                 1.2787,                 0.7801,                0.77913,             0.00081362,             0.00081362,             0.00081362
                      3,                  1.579,                 2.0261,                0.82257,                0.99015,                 0.9977,                0.99486,                0.65087,                 1.2542,                0.62748,                0.78231,              0.0011973,              0.0011973,              0.0011973
                      4,                 1.5265,                 1.3215,                 0.8225,                 0.9932,                0.99393,                0.99419,                0.59572,                 1.4104,                0.54372,                0.78353,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.4723,                 1.0048,                0.80931,                0.99894,                      1,                  0.995,                0.62091,                 1.3665,                0.50486,                0.78039,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.4594,                0.86922,                0.80773,                0.97947,                0.99507,                0.99326,                0.64539,                 1.2781,                 0.5357,                0.77934,               0.001151,               0.001151,               0.001151
                      7,                 1.4707,                0.77303,                0.81148,                0.99793,                0.99882,                0.99415,                0.64318,                 1.2443,                0.48862,                0.77504,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4715,                0.71035,                0.80681,                0.99356,                0.99805,                0.99426,                 0.6006,                 1.3739,                0.51192,                0.78315,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.3969,                0.65178,                0.80804,                0.99749,                0.99643,                0.99498,                0.67012,                 1.1977,                0.50326,                0.77285,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4161,                0.65222,                0.80592,                0.99802,                0.99855,                0.99496,                0.57375,                 1.4834,                0.56006,                0.78743,               0.001052,               0.001052,               0.001052
                     11,                 1.3618,                0.61451,                0.80455,                0.99779,                      1,                  0.995,                0.65785,                 1.1947,                0.49292,                0.76986,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3352,                0.59515,                0.80483,                0.99502,                0.99688,                0.99315,                0.61601,                 1.3342,                0.53304,                0.77689,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3217,                0.58052,                0.80357,                0.99435,                0.99856,                0.99434,                0.66136,                  1.208,                0.49702,                0.77504,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3231,                0.58491,                0.80297,                0.99482,                 0.9982,                  0.995,                0.66402,                 1.2043,                0.49169,                0.77588,               0.000953,               0.000953,               0.000953
                     15,                 1.3222,                0.60404,                0.80112,                0.99747,                0.99785,                0.99447,                0.66593,                 1.1898,                 0.4826,                0.77068,             0.00092825,             0.00092825,             0.00092825
                     16,                  1.304,                0.56842,                0.80462,                0.98436,                0.99187,                0.99471,                0.67226,                  1.184,                0.48608,                0.77784,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.2864,                0.55441,                0.80269,                0.96899,                0.98637,                0.99311,                0.67363,                 1.1851,                0.49679,                0.77532,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.2997,                0.57108,                0.80666,                0.99658,                0.99425,                0.99492,                0.66378,                  1.225,                0.55611,                0.77651,               0.000854,               0.000854,               0.000854
                     19,                 1.2633,                0.58193,                0.79875,                0.99929,                0.99755,                  0.995,                0.64029,                 1.2767,                0.52855,                0.78048,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.2717,                0.54865,                0.80077,                0.99681,                0.99986,                  0.995,                0.67432,                 1.1935,                0.48147,                0.77516,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2461,                 0.5308,                0.80014,                0.99676,                0.99367,                0.99491,                0.66237,                  1.199,                0.49146,                0.77948,             0.00077975,             0.00077975,             0.00077975
                     22,                  1.245,                0.54623,                0.79925,                0.99266,                0.99943,                0.99495,                0.68868,                 1.1463,                0.47012,                0.77379,               0.000755,               0.000755,               0.000755
                     23,                 1.2415,                0.53133,                0.80308,                0.99661,                0.99773,                0.99426,                0.66951,                  1.184,                0.47146,                0.77838,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2419,                0.52866,                 0.8028,                0.99946,                      1,                  0.995,                0.68442,                 1.1471,                0.46371,                0.77687,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.1782,                0.50815,                0.79717,                0.99843,                0.99959,                  0.995,                0.70037,                 1.1098,                0.45458,                0.77308,             0.00068075,             0.00068075,             0.00068075
                     26,                   1.19,                0.50305,                 0.8018,                0.99896,                      1,                  0.995,                0.69538,                 1.1226,                 0.4655,                0.77116,               0.000656,               0.000656,               0.000656
                     27,                 1.1712,                0.50449,                0.79965,                0.99662,                      1,                  0.995,                0.69541,                 1.1463,                0.45652,                0.77326,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.1643,                0.49158,                0.79529,                0.99767,                0.99971,                0.99448,                0.66206,                 1.2126,                0.46365,                0.77293,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.1568,                0.48859,                0.79681,                0.99915,                      1,                  0.995,                0.68054,                 1.1522,                0.46467,                0.77358,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.1258,                0.48514,                 0.7941,                0.99874,                0.99992,                  0.995,                0.67546,                 1.1851,                0.45312,                0.77636,               0.000557,               0.000557,               0.000557
                     31,                 1.1554,                 0.4863,                0.79677,                0.99632,                0.99931,                0.99495,                0.68554,                   1.16,                0.45323,                0.77479,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.1225,                0.47651,                 0.8006,                0.99938,                0.99995,                  0.995,                0.69295,                 1.1292,                0.44626,                0.77381,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.1103,                0.47648,                0.79706,                 0.9984,                0.99889,                0.99483,                0.69043,                 1.1134,                0.43543,                0.77306,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.0991,                0.46667,                0.78998,                0.99892,                0.99925,                  0.995,                0.66378,                 1.2111,                 0.4779,                0.77771,               0.000458,               0.000458,               0.000458
                     35,                  1.097,                0.45846,                0.79408,                0.99909,                      1,                  0.995,                0.69389,                 1.1339,                0.44414,                0.77513,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.0859,                0.45939,                0.79883,                0.99837,                0.99911,                  0.995,                0.69498,                  1.132,                0.43999,                 0.7756,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0828,                0.45211,                0.78793,                 0.9989,                0.99996,                  0.995,                0.70897,                 1.1132,                0.43729,                0.77208,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.0546,                 0.4522,                0.79278,                0.99919,                      1,                  0.995,                 0.6899,                 1.1314,                0.43383,                0.77316,               0.000359,               0.000359,               0.000359
                     39,                 1.0521,                0.44182,                0.79156,                0.99959,                0.99936,                  0.995,                0.68695,                 1.1479,                 0.4439,                0.77468,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0283,                0.43837,                0.78706,                0.99866,                0.99974,                  0.995,                0.69957,                 1.1238,                0.43444,                0.77259,              0.0003095,              0.0003095,              0.0003095
                     41,                  1.021,                0.43723,                0.79217,                0.99914,                      1,                  0.995,                0.70316,                 1.1229,                0.43232,                0.77259,             0.00028475,             0.00028475,             0.00028475
                     42,                0.99496,                0.43965,                0.78702,                 0.9991,                      1,                  0.995,                0.69723,                 1.1169,                0.42795,                0.77219,                0.00026,                0.00026,                0.00026
                     43,                0.97927,                0.43162,                0.78869,                0.99866,                      1,                  0.995,                 0.6979,                 1.1263,                0.42443,                0.77443,             0.00023525,             0.00023525,             0.00023525
                     44,                  0.972,                0.42215,                0.79304,                0.99911,                      1,                  0.995,                0.71076,                 1.1089,                 0.4255,                0.77195,              0.0002105,              0.0002105,              0.0002105
                     45,                0.96432,                0.42946,                0.79178,                0.99893,                      1,                  0.995,                 0.6891,                  1.138,                0.42957,                0.77397,             0.00018575,             0.00018575,             0.00018575
                     46,                0.93399,                 0.4038,                0.79213,                0.99811,                      1,                  0.995,                0.70288,                 1.1195,                0.42277,                0.77296,               0.000161,               0.000161,               0.000161
                     47,                0.93761,                0.40794,                 0.7873,                0.99803,                      1,                  0.995,                 0.7042,                 1.1145,                0.42045,                0.77376,             0.00013625,             0.00013625,             0.00013625
                     48,                0.93227,                0.40014,                0.79034,                0.99837,                      1,                  0.995,                0.70475,                 1.1006,                0.42073,                0.77234,              0.0001115,              0.0001115,              0.0001115
                     49,                0.90693,                0.39083,                0.78637,                0.99837,                0.99996,                  0.995,                0.69646,                 1.1403,                0.42855,                  0.773,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.89165,                0.38591,                0.78994,                0.99861,                      1,                  0.995,                0.70412,                 1.1116,                0.41462,                0.77299,                6.2e-05,                6.2e-05,                6.2e-05
